Customer Lvl4,C03 - Sector,Cost_Actual_Amount,Heacount_Essbase,Revenue_Actual_Amount
Banking Small Cust,Financial Service + Healthcare,3436485,2501,4147614
LA Kidmed,Government,19231438,2547,18711755
New Jersey Child Support,Government,24428820,2542,26467487
Citigroup,Financial Service + Healthcare,3854088,2539,4564877
Wehkamp,Europe,15798537,2535,13984113
Razorsight,Financial Service + Healthcare,3309459,2435,2888920
HealthNet,Financial Service + Healthcare,5832354,2422,6741003
Legacy MMIS,ITS,-2994082,2397,0
MVS - PennDOT,Transportation,16509667,2333,16688829
SSA Mailroom + Scanning,Government,15840149,2325,21006690
BCBS - CA,Financial Service + Healthcare,2231702,2322,2043213
Renault-Nissan,Europe,764576,376,823021
Renault-Nissan,Financial Service + Healthcare,1227233,1868,1328925
Bayer,Consumer and Industrials,399262,3,699977
Bayer,Europe,12026854,2151,11687425
Fiserv Inc,Consumer and Industrials,3229886,6,1321324
Fiserv Inc,Financial Service + Healthcare,9935054,2133,14941152
Global Procurement (3),Conduent Corporate,108155,2126,0
Chief of Staff,Conduent Corporate,3466097,2043,-36
Pharma and Life Science Admin,Financial Service + Healthcare,5618077,2043,1257897
TIGO,Consumer and Industrials,1748153,2036,1764225
WDS,Consumer and Industrials,3991510,2036,3129152
Telesur,Europe,921291,2006,824170
Caesars,Financial Service + Healthcare,5006574,2003,4703719
Manufacturing Small Cust,Consumer and Industrials,23648172,1315,25341181
Manufacturing Small Cust,Financial Service + Healthcare,4057647,681,5109479
France Urban Parking,Transportation,69537255,1983,65123954
CAD+AVL,ITS,-78168,1977,0
HTIR Clients 1 Small Cust,Consumer and Industrials,628032,1947,609592
HTIR Clients 1 Small Cust,Financial Service + Healthcare,67961,19,60000
BCBS TN,Financial Service + Healthcare,7207781,1963,7328083
Ben Wallet - Payer,Consumer and Industrials,107308081,1869,120796653
Finance + Revenue Solutions,Government,36313243,1869,37206379
Strataware,ITS,-647223,1867,0
Bristol Myers,Financial Service + Healthcare,11750007,1836,11962761
Public Sector NL,Europe,7218844,1832,7867389
Europe Telecom Small Cust,Europe,4649046,1812,6085772
Roche,Financial Service + Healthcare,8074660,1744,7293625
Orange,Europe,1792475,1693,1245684
Image Solutions,Consumer and Industrials,9877912,1680,10722844
Conduent Marketing,Conduent Corporate,-1744241,1667,129
Henderson Call Center,Government,1201474,1663,0
RealEC,Financial Service + Healthcare,2097222,1663,2807815
Automotive Small Cust,Consumer and Industrials,-12875913,370,4983763
Automotive Small Cust,Financial Service + Healthcare,3811531,1291,3595735
Capital One Financial,Financial Service + Healthcare,4097200,1659,4606456
AIG,Financial Service + Healthcare,7018387,1655,9505122
Wyoming MMIS,Government,21231134,1636,30259539
Ford,Consumer and Industrials,62231460,1360,67546818
Ford,Financial Service + Healthcare,10671328,270,10551693
Montana MMIS,Government,35022081,1615,34216519
South Carolina Member Contact,Government,6907388,1602,4371488
"Portal-LW, HRaaS, AP",ITS,-593103,1588,0
Engineering,Transportation,-862852,1587,0
ViaSat,Consumer and Industrials,5962237,1571,6241533
GlaxoSmithKline,Consumer and Industrials,14998926,1410,20195390
GlaxoSmithKline,Europe,1422601,152,995889
Civil Agencies Small Cust,Government,3648800,1554,3598187
Mirand Response Systems (ES),Financial Service + Healthcare,2788707,1548,3244376
Chrysler Group LLC,Consumer and Industrials,5564595,1525,5630347
Mass Mutual,Financial Service + Healthcare,4711897,1524,4887953
Marsh + McLennan Co.,Financial Service + Healthcare,3732940,1521,3677782
Hospitality + Trav Small Cust,Financial Service + Healthcare,4187522,1519,4398999
Europe Mfg Small Cust,Europe,1247706,1489,864459
Govt Healthcare Admin,Government,40462631,1463,356
Education Sales and Mktg (ESM),Consumer and Industrials,9567453,1442,7268698
California Child Support,Government,24413059,1440,29001747
CPAS,Government,11871727,954,15114290
CPAS,ITS,19124,479,0
LA Express-HOT Lanes,Transportation,23845900,1420,24829072
MD Dept of HumanResource,Government,52131931,1401,83039752
State HHS Eligibility Cust,Government,742577,1381,1195700
RKS,ITS,-14517,1311,0
Airport Parking,Transportation,17024302,1302,18330443
Lockheed Martin,Consumer and Industrials,59600265,1299,69312482
Avis Budget Group Inc.,Financial Service + Healthcare,5146279,1266,5630976
LATAM Admin,Consumer and Industrials,5029526,1257,-10351
Amgen,Consumer and Industrials,12884431,9,14740730
Amgen,Financial Service + Healthcare,11227757,1246,13532196
MVS Other,Transportation,16570620,1229,23646918
Switzerland - Fare Collection,Transportation,63607471,1227,61328624
Urban Mobility,Transportation,15567243,1223,17770511
Boehringer Ingelheim,Consumer and Industrials,6452131,78,7031012
Boehringer Ingelheim,Financial Service + Healthcare,7070308,1134,7514155
LMSS - DISA,Government,6997163,1204,6646838
ITS - Solano County,Government,14069171,1200,14539427
American Airlines,Financial Service + Healthcare,3261296,1196,4900846
Rhode Island Rite Care,Government,19611047,1195,14969727
Campus Based (Ed Svces),Consumer and Industrials,19603415,1188,18641357
Transport Management Systems,Transportation,71671222,1178,94049582
TMS Small Cust,Financial Service + Healthcare,6568398,1176,6367396
Wisconsin Child Support,Government,7997908,1176,10085390
Professional Svcs Small Cust,Consumer and Industrials,3815889,46,3997173
Professional Svcs Small Cust,Financial Service + Healthcare,3625319,1123,3448267
Italy - Fare CollectionITFc13,Transportation,27982264,1164,29240438
Consilience,Government,13523279,1160,20686612
Missouri,Government,32169793,1160,37323912
Ditech,Financial Service + Healthcare,2481466,1126,3993424
Excellus,Financial Service + Healthcare,3562159,1115,4584187
Midas - Cloud - Juvo,ITS,-297981,1113,0
NKS - (Zurich) Italy,Europe,2471694,1109,2202288
DOL ASRC,Government,7025593,1093,11030199
DHS AFILES,Government,7499914,1077,9066426
NH MMIS,Government,55149244,1067,54043837
Colorado MMIS,Government,25399480,1051,46392512
Banco Itau,Financial Service + Healthcare,3382706,1044,2783409
Healthy Communities Institute,Financial Service + Healthcare,11541000,1031,13838439
Inovalon,Financial Service + Healthcare,4044269,1026,4373561
NY State MMIS,Government,100750122,1010,66192117
Operations Consulting Group,Government,5356490,1010,0
CAQH,Financial Service + Healthcare,2151330,989,3548245
Horizon BCBS NJ,Financial Service + Healthcare,8933787,989,9450589
Illinois Child Support,Government,16245659,981,18065130
Cummins,Financial Service + Healthcare,2695200,963,2291176
CPCS+Lockbox,ITS,-446449,939,0
Transit International Sales,Transportation,22599414,934,0
Louisiana Imaging,Government,9417617,933,10899632
Raytheon,Consumer and Industrials,41478949,932,43621617
Consumer and Industrials Admin,Consumer and Industrials,13342348,921,445309
Maryland EZPass,Transportation,55795540,913,72405236
Chevron,Consumer and Industrials,23266823,901,27594348
Human Resource Services Admin,Consumer and Industrials,3926317,891,318068
Ohio Child Support,Government,20029214,886,35252850
CompIQ,ITS,-80406,879,0
Telecolumbus,Europe,7499365,856,7131416
TX Medicaid Healthcare Ptnship,Government,32587258,852,30551488
Pharmacy Solutions,Government,5406509,845,-12443
State and Local Sales,Government,7215361,835,0
Local IT Small Customers,Government,16252927,826,15872760
Care + Quality Solutions,Government,5869175,825,8708317
Dodge Data + Analytics,Consumer and Industrials,2675343,815,4619529
EPPIC,ITS,-1778343,814,0
H3G,Europe,638943,791,343521
Maryland Child Support,Government,14018795,789,17311767
Novo Nordisk,Financial Service + Healthcare,7492044,786,6427810
Photo Admin,Transportation,9397197,773,0
Constituent+Govt SW Sltn Admin,Government,14309091,763,28876
ITS - Carrollton City,Government,13316975,758,12490301
Valeritas,Financial Service + Healthcare,4942076,751,5475328
SFA,Government,4978205,688,6537907
SFA,ITS,-30467,60,0
Ally Bank,Financial Service + Healthcare,3189390,745,5019340
Brother,Consumer and Industrials,2635326,733,2391836
Coca Cola Company,Consumer and Industrials,3165631,720,4294010
United Airlines,Financial Service + Healthcare,1297175,713,1433745
PE Canada,Transportation,13314954,712,15196317
Omnix,ITS,-1243658,702,0
Info Resource Assoc (ES),Consumer and Industrials,1545810,700,1352638
Credit Suisse,Consumer and Industrials,4318056,698,4229240
TIP Trailers,Financial Service + Healthcare,2053539,694,1974866
South Carolina DOT,Transportation,5647118,678,8506608
US Dept of Education,Consumer and Industrials,4911456,671,9452858
Hawaii MMIS,Government,15782601,658,20839401
LRMS,ITS,-6404,653,0
Pennsylvania Child Support,Government,14983659,640,22516776
Health Entprs,ITS,-9771240,636,0
"ITS - Northampton Co., PA",Government,11273982,621,10422250
"Call Center, Case Tools",ITS,-2425,619,0
Banco de Galicia,Financial Service + Healthcare,1329399,608,1189359
South Carolina Child Support,Government,5886159,606,9303839
Payment Method Development,Government,-350932,603,48975
TNT-Fedex,Consumer and Industrials,1855620,592,5345279
SHA - MD Speed,Transportation,9311832,588,10048676
Goodyear Tire + Rubber Co.,Consumer and Industrials,6879241,584,8977139
HC Knowledge Solutions,Financial Service + Healthcare,10778596,573,15723180
Energizer,Consumer and Industrials,9398098,568,6887399
Justice Services,Government,14797154,563,23091240
Consumer Products Small Cust,Consumer and Industrials,1582304,560,2298383
Fannie Mae,Financial Service + Healthcare,2642524,556,3357755
UK Urban Parking,Transportation,10711583,555,9809304
GRM - IT Services,Government,31234279,541,49280808
Tesco PLC,Europe,1724023,540,1577008
Boston Ticket Operations,Transportation,8618084,530,13298088
Healthy CT,Financial Service + Healthcare,6458568,530,7365787
Loan Processing Services (LPS),Financial Service + Healthcare,2593063,512,2667738
Virgin America,Consumer and Industrials,2053929,509,1995055
Owens Corning,Financial Service + Healthcare,11999015,500,10262473
District of Columbia MMIS,Government,29165041,499,46929819
Energy Small Cust,Consumer and Industrials,3212278,173,8985368
Energy Small Cust,Financial Service + Healthcare,5925631,317,5825193
Exxon,Consumer and Industrials,26088505,488,26082675
BCBS Alabama,Financial Service + Healthcare,2003933,484,2497428
New Hampshire CSC,Transportation,6127730,478,9569603
Affinion,Consumer and Industrials,784729,477,770458
Bradesco,Consumer and Industrials,4335499,476,3775573
TradeShift (3P),ITS,-462984,464,0
Realogy,Financial Service + Healthcare,2608187,462,3050896
CareCentrix,Financial Service + Healthcare,1765506,456,1868635
Transportation Admin,Transportation,53612700,453,-7116522
Shared Services (Prev Omaha),Financial Service + Healthcare,3308700,450,3968226
Baxter International,Consumer and Industrials,10142404,448,10751479
PH-DOC,ITS,-384293,447,0
Customer Value Group (CVG),Financial Service + Healthcare,6298775,442,3672349
Sanofi-Aventis,Europe,2910185,440,2768295
CSS - Expert Pay,Government,11829057,437,23394499
Toyota,Consumer and Industrials,3313840,434,4048561
LA City TP,Transportation,34846437,425,40372146
ICON,Government,12903703,422,24422147
Telecom Admin,Consumer and Industrials,36453105,416,0
Conduent Mortgage Services-XMS,Financial Service + Healthcare,10955590,413,29157548
Mississippi Child Support,Government,6184546,413,5759727
Sanoma,Europe,1788677,412,1630950
Southern Cal Edison,Consumer and Industrials,17447414,408,17473756
High Tech Admin,Consumer and Industrials,15763634,395,0
Procter and Gamble,Consumer and Industrials,11318664,132,12546134
Procter and Gamble,Financial Service + Healthcare,631143,262,545739
"ITS - Monroe Co., PA",Government,3088282,393,3782049
RealNet,Financial Service + Healthcare,3691454,388,4246306
Genentech,Financial Service + Healthcare,3361353,382,3525624
North Dakota MMIS,Government,35866634,378,40792999
Deutsche Telekom AG,Europe,3044878,374,2548460
HCA - Hospitial Corp of Amer,Consumer and Industrials,41902860,369,46357909
"Corning, Inc",Consumer and Industrials,12825239,364,12333734
MMIS - West Admin,Government,1311062,358,-75
GRM - Commercial Services,Government,10158305,354,17449980
Safeway,Consumer and Industrials,14751538,348,16883393
Outcome Health,Financial Service + Healthcare,2265384,347,4407738
L3 Communications Titan Group,Consumer and Industrials,12911740,342,12778133
HMS Holding Corp,Financial Service + Healthcare,1878480,341,3882411
ITS - Riverside,Government,2645872,336,2502316
Montgomery County Parking,Transportation,2848833,336,2519690
Mexico - Fare Collection,Transportation,16417321,330,16719504
State of Indiana DC,Government,14675452,329,18438920
Transit US Sales,Transportation,8239983,328,0
California Parks,Government,5506374,327,4979662
Intercept,Financial Service + Healthcare,8187687,327,7575648
Louisiana CS,Government,2386239,323,2106877
Louisiana Child Support,Government,2811568,322,3919582
SLR Delivery Services,Government,-1169075,321,0
Pennsylvania LOT 5,Government,6195232,320,7646825
Galderma,Financial Service + Healthcare,2556236,318,2522349
South Carolina CSES,Government,31593129,317,52120228
Child Support Solutions Admin,Government,3856720,316,0
Ingevity,Financial Service + Healthcare,1171274,312,1442370
TennCare,Government,1478238,312,1680420
TSA,Government,1739420,310,2762305
Delaware Child Support Sys,Government,10140580,308,11487497
Parking Sales,Transportation,7412834,306,0
Lear Corp,Consumer and Industrials,2253038,28,2453486
Lear Corp,Financial Service + Healthcare,1315155,277,1153196
TYCO - International,Consumer and Industrials,6703066,303,7347521
Tolling Region 1 Sales,Transportation,3438176,302,0
CAD Photo Enforcement,Transportation,10838758,300,13748562
Keryx,Financial Service + Healthcare,5835274,298,5966018
USAA,Consumer and Industrials,17715615,296,17312884
Philly Ticket Processing,Transportation,21431323,295,26294042
CMS,ITS,-109742,292,0
Parking Admin,Transportation,11064499,286,0
Stdnt Fin Aid Srvc Small Cust,Consumer and Industrials,8620827,286,9639991
MT MSF,Financial Service + Healthcare,2586641,285,2330356
DC T-P,Transportation,17877221,278,22434460
DE Call Center - Pepco,Government,2389263,277,2387133
Cisco Systems,Consumer and Industrials,8765493,273,9979546
Payment Services Sales,Government,8909623,273,0
DTCC,Consumer and Industrials,1787442,271,1761602
Phil Prk Auth Red Light,Transportation,13145282,270,12517693
Edgewell,Consumer and Industrials,9732955,268,8758665
AbbVie,Financial Service + Healthcare,4473586,265,3672251
ACCO Brands,Financial Service + Healthcare,1444884,263,1500754
F and SS (Financial Svces),Financial Service + Healthcare,3773010,263,10709043
"ITS - Palmdale, City of",Government,3205887,261,3584429
"ITS - Orange, City of CA",Government,2639096,257,3191096
Education Admin,Consumer and Industrials,4492622,255,1127894
"ITS - Irvine, CA",Government,3971212,253,4585471
Kentucky Child Support,Government,1622903,251,1967777
Marriott International Inc.,Consumer and Industrials,1894012,247,2875044
Retail Small Cust,Consumer and Industrials,-2214378,245,4556796
Florida Child Support,Government,5462653,243,11893402
CHTC01-HTC,Europe,1283711,239,1161467
BA7 - HW,ITS,-7798,238,0
Merck,Consumer and Industrials,8133847,232,9819088
Merck,Financial Service + Healthcare,1714675,0,1929683
Denver T-P + T-C,Transportation,5986962,224,9288292
Airbus Group NV,Consumer and Industrials,11791469,107,14858156
Airbus Group NV,Financial Service + Healthcare,213946,113,-39
Eur High Tech Small Cust,Consumer and Industrials,9069,219,1
Maven,ITS,-109393,218,0
MoCo,Government,9350319,215,15425975
Federal Gov't Admin,Government,2401945,213,0
Long Term Care,ITS,-31409,212,0
Business Intelligence,Conduent Corporate,1945455,209,0
NAPA Auto Parts,Consumer and Industrials,1640317,199,3168186
ITS - Maryland,Government,10761120,198,14451644
Monetise,Europe,422556,195,466173
Card Services Administration,Government,4363815,190,52
Commercial Prepaid Customers,Financial Service + Healthcare,7728155,189,0
Healthcare Provider Admin,Consumer and Industrials,9961631,56,16576480
Healthcare Provider Admin,Financial Service + Healthcare,-2123763,129,-2740104
DART,ITS,-70,183,0
CBSL,ITS,-72111,182,0
Parking Small Cust,Transportation,13795249,182,17650144
Rx Delivery - MD,Government,12320524,181,13014815
LATAM Small Cust,Consumer and Industrials,180809,179,192054
Rite Aid Corporation,Consumer and Industrials,12274083,179,13224673
De Lotto,Europe,1219661,175,1232516
New Vision,ITS,-12175,173,3252
Iron Mountain,Consumer and Industrials,3558849,168,1016078
Texas Child Support,Government,278617,168,669755
U Mass Rx Delivery,Government,18022878,168,29693865
Capgemini,Europe,544493,166,354748
Honeywell,Consumer and Industrials,4387932,98,1533591
Honeywell,Financial Service + Healthcare,220873,68,173924
Reynolds,Consumer and Industrials,10081483,166,9642333
UI Claims Small Customers,Government,653517,165,632835
Wyoming TPHM,Government,3406787,162,3965718
Chicago Red Light,Transportation,16116879,161,17298833
"KidStar, EPC+GO",ITS,-1947474,161,0
FL - Third Party Liability,Financial Service + Healthcare,593610,160,542988
Seven + I Holdings Co. Ltd.,Consumer and Industrials,5851525,160,8443458
US Department of Treasury,Government,228081191,156,252766149
Parker Hannifin Corp,Consumer and Industrials,9454220,154,8674743
Ernst + Young,Consumer and Industrials,78418688,127,110270728
Ernst + Young,Europe,458520,26,928367
Europe Auto Aero Small Cust,Consumer and Industrials,245750,153,1558866
Harris Corp-Outsourcing,Consumer and Industrials,8321558,153,9552861
Texas Ft Bend,Transportation,4936664,153,7749195
"ITS - Siskiyou Co, CA",Government,1661853,152,1947930
DC Meters,Transportation,21588102,151,20271231
Transportation Sales,Transportation,1045000,151,0
Massachussetts Eligibility,Government,6004678,150,8695155
Photo Sales,Transportation,4717960,150,0
Firehouse,ITS,0,145,0
MMIS - East Small Cust,Government,3459376,143,1710299
Child Support Sltns Small Cust,Government,1283862,142,1561771
Europe admin clients,Europe,6985054,141,0
Ameren,Consumer and Industrials,6461623,140,6779112
Europe Auto Aero Mfg Sales,Europe,1074881,140,0
PRWT- San Fran Parking,Transportation,9695745,138,14273849
Theratechnologies-Egrifta,Financial Service + Healthcare,3193892,137,2724667
Arizona FARE,Transportation,7790616,135,14186972
Banking Print Fact Small Cust,Financial Service + Healthcare,13405811,134,15158178
Workers Compensation Admin,Financial Service + Healthcare,1211004,134,0
Hess,Consumer and Industrials,3848324,130,3309685
CSES + Expert Pay Small Cust,Government,2214808,129,0
Panera,Consumer and Industrials,6898953,129,8626272
ITS - HACLA,Government,1697674,127,1677825
Tax Solutions - 10x,Government,4187306,127,2884500
Strategy,Conduent Corporate,108309,126,0
USAC,Government,409320,126,0
Tolling Region 2 Sales,Transportation,2783274,125,0
Dallas Parking,Transportation,2879683,122,3617723
State HHS Eligibility Admin,Government,2148122,120,0
Network Services,Government,3125816,117,4766806
Sempra Energy,Consumer and Industrials,7347176,115,8550969
Transit International Admin,Transportation,-95840,115,0
Bol.com,Europe,563194,114,659615
Direct Express,ITS,-25849,113,0
New Jersey EBT,Government,7238785,112,10558736
S+L BPS Administration,Government,5544438,112,408912
Mars LTD,Consumer and Industrials,5590465,109,5536079
MD MHBE,Government,7763343,108,11934556
Kentucky HIE,Government,15486139,107,17253515
Learning Customers,Consumer and Industrials,1005946,107,637304
Santa Monica Ticket Processing,Transportation,3021512,105,3321353
CorpDev,Conduent Corporate,1328892,101,0
Pymnt Prod Deliver Admin,Government,3961721,100,0
TIAA CREF,Consumer and Industrials,4467299,100,4214876
Conduent BOS 4,ITS,-2962237,99,0
Freight Transport Small Cust,Consumer and Industrials,485259,1,357210
Freight Transport Small Cust,Financial Service + Healthcare,349358,97,494736
"ParkIndy, LLC",Transportation,10417052,95,13223638
Healthcare Comm 2 Small Cust,Financial Service + Healthcare,382385,94,555837
California EBT,Government,27676402,93,48186215
NCS EBT,Government,21757570,92,28666805
New Hampshire Child Support,Government,1857855,92,2158093
The Hertz Corporation,Consumer and Industrials,14572710,90,11407670
Baltimore County Speed,Transportation,7540556,89,8591485
